Материал,Качество,Название материала,Бердо,Плотность по утку,Склад,Завод,Вид движения,Партия,Количество,Базовая ЕИ,Дата проводки,Время ввода,Имя пользователя,Описание палитры,Вес план,Вес факт,Заказ,Номер линии,Номер станка
MU8675_CL33_028,MU,MADONNA 8675 CL33 200X300 R,32,240,7510,XIVA,101,52807,120.0,М2,2025-10-26,18:41:44,STOREKEEPER3,ZARA,6.75,0,100001277951,13,T13
MU8675_CL63_028,MU,MADONNA 8675 CL63 200X300 R,32,240,7510,XIVA,101,52808,72.0,М2,2025-10-26,18:41:08,STOREKEEPER3,ZARA,6.75,0,100001277955,13,T13
MU8675_CL63_028,MU,MADONNA 8675 CL63 200X300 R,32,240,7510,XIVA,101,52807,48.0,М2,2025-10-26,18:42:00,STOREKEEPER3,ZARA,6.75,0,100001277952,13,T13
MU8676_CL53_009,MU,MADONNA 8676 CL53 350X500 R,32,240,7510,XIVA,101,51840,70.0,М2,2025-10-14,18:23:39,STOREKEEPER3,ZARA,19.69,0,100001270008,7,T07
MU8676_CL53_009,MU,MADONNA 8676 CL53 350X500 R,32,240,7510,XIVA,101,51557,140.0,М2,2025-10-11,08:37:41,STOREKEEPER3,ZARA,19.69,0,100001267744,7,T07
MU8676_CL53_010,MU,MADONNA 8676 CL53 350X600 R,32,240,7510,XIVA,101,52890,42.0,М2,2025-10-28,12:43:25,STOREKEEPER3,ZARA,23.63,0,100001278481,7,T07
MU8676_CL53_010,MU,MADONNA 8676 CL53 350X600 R,32,240,7510,XIVA,101,50727,168.0,М2,2025-10-01,19:43:49,STOREKEEPER3,ZARA,23.63,0,100001259999,5,T05
MU8676_CL53_015,MU,MADONNA 8676 CL53 300X400 R,32,240,7510,XIVA,101,52854,24.0,М2,2025-10-27,21:30:28,STOREKEEPER3,ZARA,13.5,0,100001278304,2,T02
MU8676_CL53_016,MU,MADONNA 8676 CL53 300X500 R,32,240,7510,XIVA,101,52854,30.0,М2,2025-10-27,21:30:43,STOREKEEPER3,ZARA,16.88,0,100001278305,2,T02
MU8676_CL53_017,MU,MADONNA 8676 CL53 300X550 R,32,240,7510,XIVA,101,52854,33.0,М2,2025-10-27,21:30:59,STOREKEEPER3,ZARA,18.57,0,100001278306,2,T02
MU8676_CL53_018,MU,MADONNA 8676 CL53 300X600 R,32,240,7510,XIVA,101,52855,36.0,М2,2025-10-27,21:29:09,STOREKEEPER3,ZARA,20.26,0,100001278311,2,T02
MU8676_CL53_103,MU,MADONNA 8676 CL53 300X450 R,32,240,7510,XIVA,101,52855,27.0,М2,2025-10-27,21:29:24,STOREKEEPER3,ZARA,15.19,0,100001278313,2,T02
MU8676_CL53_118,MU,MADONNA 8676 CL53 350X550 R,32,240,7510,XIVA,101,52892,38.5,М2,2025-10-26,16:52:05,STOREKEEPER3,ZARA,21.66,0,100001278484,7,T07
MU8676_CL53_190,MU,MADONNA 8676 CL53 320X500 R,32,240,7510,XIVA,101,52870,32.0,М2,2025-10-29,02:28:10,STOREKEEPER3,ZARA,18.01,0,100001278384,4,T04
MU8676_CL53_191,MU,MADONNA 8676 CL53 320X600 R,32,240,7510,XIVA,101,53019,38.4,М2,2025-10-29,15:40:18,STOREKEEPER3,ZARA,21.61,0,100001279445,4,T04
MU8676_CL53_414,MU,MADONNA 8676 CL53 320X450 R,32,240,7510,XIVA,101,53019,28.8,М2,2025-10-29,15:40:34,STOREKEEPER3,ZARA,16.2,0,100001279447,4,T04
MU8676_CL53_415,MU,MADONNA 8676 CL53 320X550 R,32,240,7510,XIVA,101,53019,35.2,М2,2025-10-29,15:40:49,STOREKEEPER3,ZARA,19.81,0,100001279449,4,T04
MU8676_CL53_S63,MU,MADONNA 8676 CL53 250X340 R,32,240,7510,XIVA,101,52636,170.0,М2,2025-10-26,03:52:08,STOREKEEPER3,ZARA,9.56,0,100001276750,13,T13
MU8676_CL53_S63,MU,MADONNA 8676 CL53 250X340 R,32,240,7510,XIVA,101,52206,255.0,М2,2025-10-19,15:36:18,STOREKEEPER3,ZARA,9.56,0,100001273151,13,T13
MU8676_CL53_S63,MU,MADONNA 8676 CL53 250X340 R,32,240,7510,XIVA,101,51735,34.0,М2,2025-10-19,13:08:51,STOREKEEPER3,ZARA,9.56,0,100001269183,13,T13
MU8676_CL53_S63,MU,MADONNA 8676 CL53 250X340 R,32,240,7510,XIVA,101,50779,170.0,М2,2025-10-02,18:03:30,STOREKEEPER3,ZARA,9.56,0,100001260768,13,T13
MU8676_CL73_009,MU,MADONNA 8676 CL73 350X500 R,32,240,7510,XIVA,101,51557,35.0,М2,2025-10-11,08:37:57,STOREKEEPER3,ZARA,19.69,0,100001267745,7,T07
MU8676_CL73_S63,MU,MADONNA 8676 CL73 250X340 R,32,240,7510,XIVA,101,52636,170.0,М2,2025-10-26,03:52:23,STOREKEEPER3,ZARA,9.56,0,100001276751,13,T13
MU8676_CL73_S63,MU,MADONNA 8676 CL73 250X340 R,32,240,7510,XIVA,101,51735,51.0,М2,2025-10-19,13:09:06,STOREKEEPER3,ZARA,9.56,0,100001269184,13,T13
MU8676_CL73_S63,MU,MADONNA 8676 CL73 250X340 R,32,240,7510,XIVA,101,52206,102.0,М2,2025-10-19,15:36:33,STOREKEEPER3,ZARA,9.56,0,100001273152,13,T13
MU8676_CL73_S63,MU,MADONNA 8676 CL73 250X340 R,32,240,7510,XIVA,101,50779,102.0,М2,2025-10-02,18:03:45,STOREKEEPER3,ZARA,9.56,0,100001260769,13,T13
MU8676_CL73_S63,MU,MADONNA 8676 CL73 250X340 R,32,240,7510,XIVA,101,50779,68.0,М2,2025-10-02,18:03:14,STOREKEEPER3,ZARA,9.56,0,100001260766,13,T13
