kachestvo,kollection,plotnost_po_utku,pletenie,berdo
KF,ALADDIN POLYESTER,400,1/2,320
KG,OQ SAROY,900,1/2,480
KK,ALMIRA PLUS,260,1/2,320
KL,SOPHISTIC,800,1/2,400
KN,SOPHISTIC.,650,1/2,400
KM,SANTA FE,900,1/2,480
KO,ALTIN YILDIZ,240,1/2,320
KJ,TAMERLAN,1200,1/2,1200
KQ,TROYA 3M,500,1/1,480
KP,PRADA MAVI,320,1/2,320
KS,CREANTE BEST,1200,1/2,1200
KU,SUPER SAUVAGE.,500,1/2,400
KD,MADONNA,240,1/2,320
KZ,KONGRESS,700,1/2,400
KX,PRADA CLASSIC.,280,1/2,320
LA,KONGRESS,700,1/2,320
KW,SOUVAGE NEW,650,1/2,400
KY,SANTA FE.,850,1/2,480
LC,SOFIYA,800,1/2,400
LE,KONGRES 2,750,1/2,480
LB,INFINITY BLUE,650,1/2,400
LD,VERSUS,900,1/2,480
CQ,AFROSIOB,860,1/2,700
BS,PADISHAH,380,1/2,320
CR,REGISTON,440,1/2,400
CP,SHERDOR,440,1/2,400
CY,SHEYX,380,1/2,320
BH,SULTAN GOLD,380,1/2,320
GA,KOSHON,860,1/2,700
DE,SHAGGY 5SM,860,1/2,700
FA,PALMA,260,1/2,320
DF,BAHOR,380,1/2,320
JO,SUPER HAQEQ,500,1/2,420
GR,SHOHSEVAN,780,1/1,480
EL,CHIMANZOR,600,1/2,400
AY,SAMURAI ,320,1/2,400
BP,SHAGGY MALADOR,440,1/2,400
EJ,ALMOND,380,1/2,320
BK,SUPER SHAGGY,450,1/2,160
FK,SUPER GULISTON,420,1/2,400
FF,KASHMIR FRIZE K,380,1/2,320
GB,TARONA,260,1/2,320
EP,SINGAPUR,320,1/2,400
FX,NAMUNA,320,1/2,400
DY,SHAGGY LAMA,380,1/2,320
JQ,SUPER IMPERIAL X,440,1/2,420
LF,ICEBERG,500,1/1,480
FC,EMIR,860,1/2,700
BV,FANTAZIYA,280,1/2,320
KI,DREAM,460,1/2,420
LK,AURELION,440,1/2,400
LJ,VAVILON,860,1/2,700
LI,VENUSSE,1000,1/2,1000
LH,WAHRAN,1200,1/2,1200
LG,SIRIUS,780,1/2,480
LM,LAZUR ,380,1/2,320
LN,COZY,450,1/2,320
LL,OQ SAROY,800,1/2,480
LQ,VEKTOR,400,1/2,320
LO,PELUSH,300,1/2,160
LP,PELUSH,300,1/2,160
LR,ETNO,320,1/2,160
JU,SUPER GULISTON X,420,1/2,420
LS,ETNO,260,1/2,160
LT,LORD,320,1/2,320
LU,ARMADA,900,1/2,480
LV,SOFT,200,1/2,160
LW,ROMA,780,1/2,480
KC,ZILLI X,650,1/2,420
KH,SILK,250,1/2,320
KI,DREAM1,460,1/2,420
FC,EMIR,860,1/2,700
JW,IMPERIAL X,440,1/2,420
