data,zavod,stanok,pikseli
2024-08-01 00:00:00,ANTP,T28,3754660
2024-08-01 00:00:00,ANTP,T29,1765492
2024-08-01 00:00:00,ANTP,T30,1728544
2024-08-01 00:00:00,ANTP,T31,4459000
2024-08-01 00:00:00,ANTP,T32,2933300
2024-08-01 00:00:00,ANTP,T33,3542653
2024-08-01 00:00:00,ANTP,T34,1353343
2024-08-01 00:00:00,ANTP,T35,2004889
2024-08-01 00:00:00,XIVA,T01,2470593
2024-08-01 00:00:00,XIVA,T02,3214197
2024-08-01 00:00:00,XIVA,T03,3087540
2024-08-01 00:00:00,XIVA,T04,3115229
2024-08-01 00:00:00,XIVA,T05,3639797
2024-08-01 00:00:00,XIVA,T06,2931910
2024-08-01 00:00:00,XIVA,T07,2653109
2024-08-01 00:00:00,XIVA,T08,3406441
2024-08-01 00:00:00,XIVA,T09,4016030
2024-08-01 00:00:00,XIVA,T10,2690907
2024-08-01 00:00:00,XIVA,T11,3484178
2024-08-01 00:00:00,XIVA,T12,4760088
2024-08-01 00:00:00,XIVA,T13,3471899
2024-08-01 00:00:00,XIVA,T14,3424923
2024-08-01 00:00:00,XIVA,T15,4832382
2024-08-01 00:00:00,XIVA,T16,4311994
2024-08-01 00:00:00,XIVA,T17,4383261
2024-08-01 00:00:00,XIVA,T18,3147046
2024-08-01 00:00:00,XIVA,T19,3972615
2024-09-01 00:00:00,ANTP,T01,4253228
2024-09-01 00:00:00,ANTP,T02,4506454
2024-09-01 00:00:00,ANTP,T03,3597918
2024-09-01 00:00:00,ANTP,T04,2483410
2024-09-01 00:00:00,ANTP,T05,3477040
2024-09-01 00:00:00,ANTP,T06,3617044
2024-09-01 00:00:00,ANTP,T07,1180178
2024-09-01 00:00:00,ANTP,T08,3374021
2024-09-01 00:00:00,ANTP,T09,3584249
2024-09-01 00:00:00,ANTP,T10,2773107
2024-09-01 00:00:00,ANTP,T11,2500870
2024-09-01 00:00:00,ANTP,T12,3722735
2024-09-01 00:00:00,ANTP,T13,3197652
2024-09-01 00:00:00,ANTP,T14,2809266
2024-09-01 00:00:00,ANTP,T15,3618824
2024-09-01 00:00:00,ANTP,T16,2663668
2024-09-01 00:00:00,ANTP,T17,2590494
2024-09-01 00:00:00,ANTP,T18,2110126
2024-09-01 00:00:00,ANTP,T19,4076110
2024-09-01 00:00:00,ANTP,T20,1731901
2024-09-01 00:00:00,ANTP,T21,3466707
2024-09-01 00:00:00,ANTP,T22,4023745
2024-09-01 00:00:00,ANTP,T23,4091896
2024-09-01 00:00:00,ANTP,T24,1329048
2024-09-01 00:00:00,ANTP,T25,0
2024-09-01 00:00:00,ANTP,T26,1847722
2024-09-01 00:00:00,ANTP,T27,1389632
2024-09-01 00:00:00,ANTP,T28,3745328
2024-09-01 00:00:00,ANTP,T29,1483044
2024-09-01 00:00:00,ANTP,T30,1715705
2024-09-01 00:00:00,ANTP,T31,3843700
2024-09-01 00:00:00,ANTP,T32,3777700
2024-09-01 00:00:00,ANTP,T33,3869150
2024-09-01 00:00:00,ANTP,T34,1911689
2024-09-01 00:00:00,ANTP,T35,2562072
2024-09-01 00:00:00,XIVA,T01,2777842
2024-09-01 00:00:00,XIVA,T02,2950168
2024-09-01 00:00:00,XIVA,T03,3454924
2024-09-01 00:00:00,XIVA,T04,3591959
2024-09-01 00:00:00,XIVA,T05,3441806
2024-09-01 00:00:00,XIVA,T06,2678887
2024-09-01 00:00:00,XIVA,T07,2845247
2024-09-01 00:00:00,XIVA,T08,3278491
2024-09-01 00:00:00,XIVA,T09,3976740
2024-09-01 00:00:00,XIVA,T10,3777245
2024-09-01 00:00:00,XIVA,T11,3257247
2024-09-01 00:00:00,XIVA,T12,4638650
2024-09-01 00:00:00,XIVA,T13,3188705
2024-09-01 00:00:00,XIVA,T14,3506139
2024-09-01 00:00:00,XIVA,T15,4637011
2024-09-01 00:00:00,XIVA,T16,3539402
2024-09-01 00:00:00,XIVA,T17,4575806
2024-09-01 00:00:00,XIVA,T18,2760535
2024-09-01 00:00:00,XIVA,T19,4086293
2024-10-01 00:00:00,ANTP,T01,4551574
2024-10-01 00:00:00,ANTP,T02,4843700
2024-10-01 00:00:00,ANTP,T03,3917880
2024-10-01 00:00:00,ANTP,T04,2566687
2024-10-01 00:00:00,ANTP,T05,3695230
2024-10-01 00:00:00,ANTP,T06,4197940
2024-10-01 00:00:00,ANTP,T07,2608907
2024-10-01 00:00:00,ANTP,T08,4115107
2024-10-01 00:00:00,ANTP,T09,3701276
2024-10-01 00:00:00,ANTP,T10,3621404
2024-10-01 00:00:00,ANTP,T11,3655845
2024-10-01 00:00:00,ANTP,T12,3888560
