Серия,Имя коллекции,Имя коллекции.1,Бедро,Размер,Ширина,Длина,Тип изделия,Цвет,ID (на сайте),Склад,Склад.1,Себестоимость,Начальный остаток,Приход,Расход,Конечный остаток,Начальный остаток м2,Приход м2,Расход м2,Конечный остаток м2
14097222,IRANI,IRANI,48,350X2500,350,2500,Метражный,26,NK9976_DE26_188,SamExpress1,Магазин Самарканд,114.11,2.508,,,2.508,8.778,,,8.778
14135761,IRANI,IRANI,48,400X2500,400,2500,Метражный,26,NK9977_DE26_104,Magazin Nukus,Магазин Нукус,39.0,0.75,,,0.75,3.0,,,3.0
14479013,IRANI,IRANI,48,400X2500,400,2500,Метражный,26,NK9977_DE26_104,Magazin Nukus,Магазин Нукус,730.08,19.08,,5.04,14.04,76.32,,20.16,56.16
14479037,IRANI,IRANI,48,400X2500,400,2500,Метражный,26,NK9977_DE26_104,Magazin Nukus,Магазин Нукус,1326.0,25.5,,,25.5,102.0,,,102.0
14258962,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9977_DE26_105,Magazin Nukus,Магазин Нукус,75.66,2.71,,0.77,1.94,8.13,,2.31,5.82
14356925,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9977_DE26_105,Magazin Nukus,Магазин Нукус,31.2,0.8,,,0.8,2.4,,,2.4
14361560,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9977_DE26_105,Magazin Nukus,Магазин Нукус,,1.07,,1.07,,3.21,,3.21,
14388518,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9977_DE26_105,Magazin Xiva,Магазин Хива,967.2,24.8,,,24.8,74.4,,,74.4
14388537,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9977_DE26_105,Magazin Xiva,Магазин Хива,959.4,24.6,,,24.6,73.8,,,73.8
14138291,IRANI,IRANI,48,350X2500,350,2500,Метражный,26,NK9977_DE26_188,Magazin Nukus,Магазин Нукус,12.74,0.28,,,0.28,0.98,,,0.98
14144816,IRANI,IRANI,48,350X2500,350,2500,Метражный,26,NK9977_DE26_188,Magazin Jizzax 2,Магазин Жиззах,770.32,16.93,,,16.93,59.255,,,59.255
14144834,IRANI,IRANI,48,350X2500,350,2500,Метражный,26,NK9977_DE26_188,Magazin Jizzax 2,Магазин Жиззах,1132.95,24.9,,,24.9,87.15,,,87.15
14232078,IRANI,IRANI,48,350X2500,350,2500,Метражный,26,NK9977_DE26_188,Magazin Xiva,Магазин Хива,1137.5,25.0,,,25.0,87.5,,,87.5
14233143,IRANI,IRANI,48,350X2500,350,2500,Метражный,26,NK9977_DE26_188,Magazin Xiva,Магазин Хива,122.85,2.7,,,2.7,9.45,,,9.45
14329605,GULISTON,GULISTON,48,300X2500,300,2500,Метражный,32,NN4000_DP32_105,SamExpress2,Магазин Самарканд,1320.9,25.9,,,25.9,77.7,,,77.7
14330137,GULISTON,GULISTON,48,300X2500,300,2500,Метражный,32,NN4000_DP32_105,SamExpress1,Магазин Самарканд,511.53,10.03,,,10.03,30.09,,,30.09
14493566,GULISTON,GULISTON,48,350X2500,350,2500,Метражный,32,NN4000_DP32_188,SamExpress1,Магазин Самарканд,,13.4,,,13.4,46.9,,,46.9
14493605,GULISTON,GULISTON,48,350X2500,350,2500,Метражный,32,NN4000_DP32_188,SamExpress2,Магазин Самарканд,,26.0,,,26.0,91.0,,,91.0
14495042,GULISTON,GULISTON,48,350X2500,350,2500,Метражный,32,NN4000_DP32_188,SamExpress1,Магазин Самарканд,,12.5,,,12.5,43.75,,,43.75
14333290,GULISTON,GULISTON,48,300X2500,300,2500,Метражный,38,NN4000_DP38_105,SamExpress1,Магазин Самарканд,1320.9,25.9,,,25.9,77.7,,,77.7
14333338,GULISTON,GULISTON,48,300X2500,300,2500,Метражный,38,NN4000_DP38_105,SamExpress1,Магазин Самарканд,354.45,6.95,,,6.95,20.85,,,20.85
14459802,GULISTON,GULISTON,48,350X400,350,400,Прямоугольник,+,NN4871_DP23_008,SamExpress2,Магазин Самарканд,238.0,1.0,,,1.0,14.0,,,14.0
14459816,GULISTON,GULISTON,48,350X400,350,400,Прямоугольник,+,NN4871_DP23_008,SamExpress2,Магазин Самарканд,238.0,1.0,,,1.0,14.0,,,14.0
14459806,GULISTON,GULISTON,48,350X500,350,500,Прямоугольник,+,NN4871_DP23_009,SamExpress2,Магазин Самарканд,297.5,1.0,,,1.0,17.5,,,17.5
14459819,GULISTON,GULISTON,48,350X500,350,500,Прямоугольник,+,NN4871_DP23_009,SamExpress2,Магазин Самарканд,297.5,1.0,,,1.0,17.5,,,17.5
14469589,GULISTON,GULISTON,48,350X700,350,700,Прямоугольник,+,NN4871_DP23_011,SamExpress2,Магазин Самарканд,416.5,1.0,,,1.0,24.5,,,24.5
14469724,GULISTON,GULISTON,48,350X700,350,700,Прямоугольник,+,NN4871_DP23_011,SamExpress2,Магазин Самарканд,416.5,1.0,,,1.0,24.5,,,24.5
14459810,GULISTON,GULISTON,48,350X800,350,800,Прямоугольник,+,NN4871_DP23_012,SamExpress2,Магазин Самарканд,476.0,1.0,,,1.0,28.0,,,28.0
14266883,GULISTON,GULISTON,48,300X400,300,400,Прямоугольник,+,NN4871_DP23_015,Magazin Urganch 2,Магазин Урганч,186.0,1.0,,,1.0,12.0,,,12.0
